GEOID,total_amenities,manual_wheelchair_count,unconstrained_pedestrian_count,wheelchair_bus_stop_count,pedestrian_bus_stop_count,wheelchair_supermarket_count,pedestrian_supermarket_count,wheelchair_school_count,pedestrian_school_count,wheelchair_hospital_count,pedestrian_hospital_count,wheelchair_college_count,pedestrian_college_count,wheelchair_middle_or_high_school_count,pedestrian_middle_or_high_school_count,wheelchair_elementary_school_count,pedestrian_elementary_school_count,wheelchair_other_school_count,pedestrian_other_school_count,wheelchair_grocery_store_count,pedestrian_grocery_store_count,wheelchair_station_count,pedestrian_station_count,wheelchair_doctors_count,pedestrian_doctors_count,wheelchair_clinic_count,pedestrian_clinic_count,wheelchair_healthcare_count,pedestrian_healthcare_count,COUNTYFP,wa_demo_census_tract_NAME,TOTAL_POPU
53011042601,10.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,Census Tract 426.01; Clark County; Washington,1966.0
53011042602,55.0,52.0,52.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 426.02; Clark County; Washington,3573.0
53011042700,15.0,15.0,15.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 427; Clark County; Washington,4910.0
53011042800,25.0,20.0,21.0,18.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 428; Clark County; Washington,2932.0
53011042900,15.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 429; Clark County; Washington,1646.0
53011043000,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 430; Clark County; Washington,1885.0
53011043100,5.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 431; Clark County; Washington,4339.0
53013960200,8.0,5.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,Census Tract 9602; Columbia County; Washington,3952.0
53015000300,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53015000400,14.0,9.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,15.0,Census Tract 4; Cowlitz County; Washington,3996.0
53015000501,3.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Census Tract 5.01; Cowlitz County; Washington,2902.0
53015000502,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53015000601,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
